SalePrice,Overall_Qual,Overall_Cond,Gr_Liv_Area,Lot_Area,Year_Built,Total_Bsmt_SF,Garage_Cars,Garage_Yr_Blt,Full_Bath,Bedroom_AbvGr,Neighborhood,House_Style,Kitchen_Qual,Exter_Qual
148000,5,7,1155,11782,1961,1109.0,2.0,1987.0,1,3,Sawyer,SFoyer,Gd,TA
138500,5,8,894,8450,1965,894.0,1.0,1973.0,1,3,Sawyer,1Story,TA,TA
122000,5,5,900,9819,1967,882.0,1.0,1970.0,1,3,Sawyer,1Story,TA,TA
133000,5,5,1040,7500,1963,1040.0,1.0,1963.0,1,3,Sawyer,1Story,TA,TA
127000,5,8,1040,6897,1962,1040.0,1.0,1962.0,1,3,Sawyer,1Story,TA,TA
169000,6,6,1494,15410,1974,1208.0,2.0,1974.0,2,3,Sawyer,1Story,TA,TA
190000,7,5,1923,10186,1992,750.0,2.0,1992.0,2,3,NoRidge,2Story,Gd,Gd
362500,8,5,2349,13143,1993,1231.0,3.0,1993.0,2,4,NoRidge,2Story,Gd,Gd
285000,8,5,2225,11134,1992,1390.0,3.0,1992.0,2,4,NoRidge,2Story,Gd,Gd
260000,7,5,1488,4835,2004,1488.0,2.0,2004.0,2,2,Somerst,1Story,Gd,Gd
190000,7,5,1680,3515,2004,840.0,2.0,2004.0,2,2,Somerst,2Story,Gd,Gd
155000,7,5,1200,3215,2004,600.0,2.0,2004.0,2,2,Somerst,2Story,Gd,Gd
151000,7,5,1200,3182,2004,600.0,2.0,2004.0,2,2,Somerst,2Story,Gd,Gd
149500,7,5,1200,2544,2004,600.0,2.0,2004.0,2,2,Somerst,2Story,Gd,Gd
152000,6,5,1236,2544,2005,600.0,2.0,2005.0,2,2,Somerst,2Story,Gd,Gd
222000,7,5,1478,4403,2009,1470.0,2.0,2009.0,2,2,Somerst,1Story,Gd,Ex
177500,6,5,1573,2117,2000,756.0,2.0,2000.0,2,3,Somerst,2Story,Gd,Gd
177000,6,5,1512,2980,2000,756.0,2.0,2000.0,2,2,Somerst,2Story,Gd,Gd
155000,7,5,1416,2572,1999,696.0,2.0,1999.0,2,3,Somerst,2Story,Gd,Gd
147110,7,5,1080,2403,2003,530.0,2.0,2003.0,2,2,Somerst,2Story,Gd,Gd
267916,8,5,1418,12853,2010,1642.0,3.0,2010.0,1,1,Somerst,1Story,Gd,Gd
254000,8,5,1848,7379,2000,975.0,2.0,2000.0,2,3,Somerst,2Story,Gd,Gd
155000,8,5,788,4420,1980,728.0,2.0,1980.0,1,1,Greens,1Story,Gd,Gd
206000,8,6,1226,3880,1978,1226.0,2.0,1978.0,1,1,Greens,1Story,Gd,Gd
130500,6,8,1479,13517,1976,725.0,2.0,1976.0,2,3,Sawyer,2Story,Gd,Gd
230000,7,5,1492,8000,2002,1492.0,2.0,2002.0,2,3,Somerst,1Story,Gd,Gd
218500,6,6,1829,10456,1967,1829.0,2.0,1967.0,2,4,NWAmes,1Story,TA,TA
243500,6,5,2495,10791,1993,1280.0,2.0,1993.0,2,4,NWAmes,2Story,Gd,TA
205000,6,7,1610,10603,1977,1610.0,2.0,1977.0,2,3,NWAmes,1Story,Gd,TA
212500,6,5,1891,18837,1978,1224.0,2.0,1978.0,3,3,NWAmes,1.5Fin,TA,TA
196500,7,5,1714,10421,1988,980.0,2.0,1988.0,2,3,NWAmes,2Story,TA,TA
197500,6,7,1381,9360,1972,1161.0,2.0,1972.0,1,3,NWAmes,1Story,Gd,TA
171000,6,6,1645,9600,1971,715.0,2.0,1971.0,1,4,NWAmes,2Story,TA,TA
142250,5,5,1232,9600,1966,1232.0,2.0,1966.0,1,3,NAmes,1Story,TA,TA
143000,6,5,1328,9790,1963,1328.0,2.0,1963.0,1,3,NWAmes,1Story,TA,TA
128950,4,5,1225,9320,1959,950.0,0.0,,1,3,NAmes,1Story,TA,TA
159000,5,5,1209,9900,1966,1209.0,2.0,1966.0,1,3,NAmes,1Story,TA,TA
178900,5,6,1510,9680,1967,1510.0,2.0,1967.0,2,3,NAmes,1Story,Gd,TA
136300,6,5,1775,10600,1964,533.0,2.0,1964.0,2,3,NAmes,SLvl,TA,TA
180500,5,7,1152,14112,1964,1152.0,2.0,1964.0,1,3,NAmes,SLvl,TA,TA
137500,6,7,1054,8800,1963,936.0,2.0,1963.0,1,3,NAmes,SFoyer,Gd,TA
84900,5,6,1728,13260,1962,1728.0,0.0,,2,6,NAmes,1Story,TA,TA
142125,5,6,1078,9717,1950,1078.0,1.0,1950.0,1,2,NAmes,1Story,Gd,TA
197600,5,7,2461,9724,1952,1140.0,2.0,1994.0,2,3,NAmes,1.5Fin,TA,Gd
172500,6,6,1556,17360,1949,782.0,2.0,1949.0,2,3,NAmes,1.5Fin,TA,TA
116500,5,7,858,7207,1958,858.0,0.0,,1,2,BrkSide,1Story,TA,TA
76500,3,2,1306,5350,1940,728.0,0.0,,1,3,BrkSide,1Story,Fa,TA
128000,5,5,1063,9920,1954,1056.0,1.0,1954.0,1,3,NAmes,1Story,TA,TA
153000,6,6,1520,9600,1955,1156.0,1.0,1955.0,1,3,NAmes,SLvl,TA,TA
132000,5,6,1268,7800,1954,1268.0,1.0,1954.0,1,2,NAmes,1Story,TA,TA
178000,6,8,1128,11380,1966,1080.0,1.0,1966.0,1,2,NAmes,SFoyer,Gd,TA
154300,5,5,2274,11600,1960,1105.0,2.0,1960.0,2,5,NAmes,2Story,TA,TA
180000,7,5,2207,19900,1970,1947.0,2.0,1970.0,2,3,NAmes,1Story,TA,TA
190000,6,6,1888,16492,1966,1517.0,2.0,1966.0,2,2,NAmes,1Story,Gd,Gd
135000,5,5,1604,8267,1958,1604.0,2.0,1958.0,2,4,NAmes,1Story,TA,TA
214000,7,5,1480,8197,2003,1480.0,2.0,2003.0,2,3,NAmes,1Story,Gd,Gd
136000,5,5,1143,8050,1959,1143.0,1.0,1959.0,1,3,NAmes,1Story,TA,TA
165500,5,5,1700,10552,1959,1398.0,2.0,1959.0,1,4,NAmes,1Story,Gd,TA
145000,5,6,1314,8400,1957,1314.0,1.0,1957.0,1,3,NAmes,1Story,TA,TA
148000,6,6,1194,8760,1959,1194.0,1.0,1959.0,1,3,NAmes,1Story,TA,TA
142000,5,5,1188,12160,1959,1188.0,2.0,1959.0,1,3,NAmes,1Story,TA,TA
167500,5,5,1264,9300,1960,1268.0,2.0,1960.0,1,3,NAmes,1Story,TA,TA
108538,5,5,1206,10725,1959,1206.0,1.0,1959.0,1,3,NAmes,1Story,TA,TA
159500,6,5,1580,10032,1959,1244.0,2.0,1956.0,1,3,NAmes,1Story,TA,TA
108000,4,5,1337,8382,1956,832.0,1.0,1956.0,1,3,NAmes,1.5Fin,TA,TA
135000,5,7,1064,10950,1952,864.0,1.0,1952.0,1,2,NAmes,1Story,Fa,TA
122500,5,6,972,10895,1955,972.0,1.0,1955.0,1,3,NAmes,1Story,TA,TA
119000,5,5,988,13587,1958,988.0,1.0,1958.0,1,2,NAmes,1Story,TA,TA
109000,5,7,1057,7922,1953,1057.0,1.0,1953.0,1,3,NAmes,1Story,Gd,TA
105000,4,7,985,7898,1920,576.0,2.0,1989.0,1,2,NAmes,1Story,TA,TA
107500,5,7,827,7200,1955,0.0,1.0,1967.0,1,2,NAmes,1Story,TA,TA
144900,5,7,1086,10200,1954,1086.0,2.0,1989.0,1,3,NAmes,1Story,TA,TA
129000,5,7,936,5868,1956,936.0,1.0,1956.0,1,2,NAmes,1Story,TA,TA
97500,6,5,1458,17503,1948,912.0,1.0,1948.0,1,3,NAmes,1.5Fin,TA,TA
144000,6,5,1056,6979,1980,1056.0,2.0,1980.0,0,0,OldTown,SFoyer,TA,TA
162000,5,7,1287,9830,1959,1063.0,2.0,1997.0,1,3,NAmes,1Story,Gd,TA
242000,7,7,2978,11275,1967,710.0,2.0,1961.0,2,5,NAmes,SLvl,Gd,Gd
132000,6,8,1224,8064,1948,816.0,1.0,1950.0,1,3,NAmes,1.5Fin,TA,TA
154000,5,7,1246,7500,1959,1246.0,1.0,1959.0,1,3,NAmes,1Story,Gd,TA
166000,5,4,1385,8520,1952,910.0,2.0,2000.0,2,4,NAmes,1.5Fin,TA,TA
134800,5,7,900,7200,1951,900.0,2.0,2005.0,1,3,NAmes,1Story,Gd,TA
160000,6,6,1116,10000,1962,1116.0,2.0,1962.0,1,3,NAmes,1Story,TA,TA
148000,5,6,1175,7635,1960,1175.0,2.0,1960.0,1,3,NAmes,1Story,TA,TA
192000,6,7,1395,9760,1963,1395.0,2.0,1963.0,1,2,NAmes,1Story,TA,TA
155000,6,5,1839,7700,1966,756.0,2.0,1966.0,1,4,NAmes,2Story,TA,TA
80400,4,5,1844,4800,1900,709.0,1.0,1900.0,1,3,OldTown,1.5Fin,TA,TA
96500,4,7,1140,8800,1910,576.0,0.0,,1,3,OldTown,1.5Fin,TA,TA
109500,5,7,936,4485,1920,936.0,0.0,,1,2,OldTown,1Story,TA,TA
115000,5,6,1028,8960,1927,1008.0,2.0,1927.0,1,2,OldTown,1Story,TA,TA
143000,5,7,1347,5805,1957,1347.0,2.0,1957.0,1,3,OldTown,1Story,Gd,TA
107400,3,6,1605,5790,1915,840.0,1.0,1915.0,2,3,OldTown,2Story,TA,Gd
80000,4,6,747,4608,1945,747.0,1.0,1945.0,1,2,OldTown,1Story,TA,TA
119000,5,7,804,7200,1940,788.0,1.0,1940.0,1,2,OldTown,1Story,Gd,TA
130000,5,7,1316,5500,1929,926.0,2.0,1974.0,1,3,OldTown,1.5Fin,TA,TA
119000,6,7,1251,6900,1938,827.0,1.0,1938.0,1,3,OldTown,1.5Fin,Fa,TA
129000,5,7,1633,11851,1948,1027.0,1.0,1948.0,1,3,OldTown,1.5Fin,Gd,TA
100000,5,6,1245,8239,1920,1008.0,1.0,1962.0,1,3,OldTown,1.5Fin,TA,TA
12789,2,2,832,9656,1923,678.0,2.0,1928.0,1,2,OldTown,1Story,TA,TA
105900,6,8,720,8520,1928,624.0,2.0,2005.0,1,2,OldTown,1Story,TA,TA
150000,8,9,1566,9600,1900,930.0,1.0,1930.0,2,3,OldTown,2Story,Gd,Gd
139000,5,6,1652,10800,1915,686.0,1.0,1961.0,2,4,OldTown,1.5Fin,TA,TA
240000,8,9,2268,9000,1890,346.0,2.0,2003.0,3,3,OldTown,2Story,Gd,Gd
76500,5,3,2256,9045,1910,840.0,0.0,,2,4,OldTown,2Story,Fa,TA
149700,6,7,1236,7407,1957,912.0,2.0,1957.0,1,2,OldTown,1Story,TA,TA
125500,4,7,1363,7740,1910,622.0,2.0,1966.0,1,3,OldTown,2Story,TA,TA
122500,4,6,2290,11340,1885,777.0,2.0,1971.0,2,4,OldTown,2Story,TA,TA
140750,6,7,1470,10560,1922,738.0,2.0,1970.0,1,2,OldTown,2Story,TA,TA
128500,5,6,1612,5830,1950,988.0,1.0,1950.0,1,3,BrkSide,1.5Fin,TA,TA
209500,7,7,2068,7793,1922,1108.0,1.0,1928.0,1,3,BrkSide,2.5Unf,Gd,TA
87000,4,7,765,5000,1925,765.0,1.0,1926.0,1,2,BrkSide,1Story,Gd,TA
134000,6,7,1132,6000,1939,608.0,1.0,1939.0,1,2,BrkSide,1.5Fin,TA,TA
128000,6,6,1196,6000,1940,572.0,2.0,1973.0,1,3,BrkSide,1.5Fin,TA,TA
132000,5,6,1453,6360,1942,835.0,1.0,1942.0,1,3,BrkSide,1.5Fin,Gd,TA
139900,6,7,1416,6000,1948,780.0,1.0,1948.0,1,3,BrkSide,1.5Fin,TA,TA
123900,5,7,1040,6240,1936,528.0,2.0,1979.0,1,2,BrkSide,1.5Fin,TA,TA
138400,5,5,1536,6240,1930,928.0,2.0,1930.0,2,4,BrkSide,1.5Fin,TA,TA
109500,6,5,1068,6120,1923,1124.0,1.0,1923.0,1,2,OldTown,1Story,TA,TA
140000,7,6,1710,10300,1921,576.0,2.0,1990.0,2,3,OldTown,2Story,TA,TA
149500,4,5,1962,8094,1915,888.0,2.0,1915.0,1,4,OldTown,1.5Fin,TA,TA
159900,6,8,1560,12900,1912,780.0,0.0,,1,3,OldTown,2Story,Gd,Gd
122000,6,8,1324,3068,1920,662.0,1.0,1920.0,1,3,OldTown,2Story,TA,TA
110000,5,5,816,8472,1963,816.0,2.0,1963.0,1,2,IDOTRR,1Story,TA,Fa
55000,4,5,1092,5600,1930,0.0,0.0,,2,3,IDOTRR,2Story,Fa,Fa
140000,5,9,1812,7630,1900,360.0,2.0,1999.0,2,4,OldTown,2Story,Gd,TA
244400,7,7,2403,24090,1940,1032.0,1.0,1940.0,2,4,ClearCr,2Story,TA,TA
173000,5,5,1675,15263,1959,1422.0,1.0,1959.0,2,3,ClearCr,1Story,TA,TA
107500,5,3,1224,10632,1917,689.0,1.0,1917.0,1,3,ClearCr,1.5Fin,Po,TA
100000,5,4,1392,9900,1915,1212.0,0.0,,1,3,SWISU,1.5Fin,TA,Fa
95000,6,5,919,6001,1940,600.0,1.0,1940.0,1,3,SWISU,1.5Fin,TA,TA
93369,4,1,1884,6449,1907,707.0,0.0,,1,4,SWISU,2Story,TA,TA
114900,5,7,1680,6048,1910,856.0,2.0,1910.0,2,2,SWISU,1.5Fin,TA,TA
94000,5,8,1020,6342,1875,780.0,0.0,,1,2,Sawyer,1.5Fin,TA,TA
136000,4,3,1832,10773,1967,1832.0,0.0,,2,4,Sawyer,1Story,TA,Fa
136500,4,5,1768,10778,1968,1768.0,0.0,,2,4,Sawyer,1Story,TA,TA
131500,5,4,1039,11625,1965,1039.0,2.0,1965.0,1,3,Sawyer,1Story,TA,TA
121500,5,6,1392,11341,1957,1392.0,2.0,1957.0,1,3,Sawyer,1Story,TA,TA
125000,5,5,912,8521,1967,912.0,1.0,1974.0,1,3,Sawyer,1Story,TA,TA
154000,5,8,1060,8246,1968,1060.0,1.0,1968.0,1,3,Sawyer,1Story,Gd,TA
137900,5,7,892,7800,1966,864.0,1.0,1966.0,1,3,Sawyer,1Story,Gd,TA
158000,6,7,1352,9364,1969,663.0,1.0,1969.0,1,4,Sawyer,2Story,TA,TA
137250,5,5,864,7832,1968,864.0,1.0,1969.0,1,2,Sawyer,1Story,TA,TA
160250,5,5,1373,7424,1978,1319.0,2.0,1978.0,1,3,Sawyer,SFoyer,TA,TA
163000,5,5,1440,11227,1968,720.0,2.0,1968.0,1,4,Sawyer,2Story,TA,TA
158900,6,5,1386,11616,1978,672.0,2.0,1978.0,2,3,Sawyer,2Story,TA,TA
328000,7,5,2260,14000,1996,1306.0,2.0,1996.0,2,3,ClearCr,2Story,Gd,Gd
270000,7,7,1483,20062,1977,1420.0,2.0,1977.0,1,1,ClearCr,1Story,TA,Gd
85000,4,4,756,9259,1927,660.0,2.0,1945.0,1,2,Sawyer,1Story,TA,TA
128000,4,7,1067,9600,1950,1067.0,2.0,1996.0,2,2,Sawyer,1Story,Gd,TA
260000,7,6,1524,23595,1979,1332.0,2.0,1979.0,0,0,ClearCr,1Story,Gd,Gd
230000,6,5,1981,17082,1978,1117.0,2.0,1978.0,2,4,ClearCr,2Story,Gd,TA
124000,3,4,1610,18600,1938,972.0,1.0,1938.0,2,4,Edwards,1.5Fin,Fa,TA
83000,5,5,835,10625,1920,458.0,1.0,1920.0,1,2,Edwards,1Story,TA,TA
144500,6,7,1074,11479,1950,663.0,1.0,1987.0,1,3,Edwards,1Story,Gd,TA
129000,5,6,1144,9571,1956,1144.0,1.0,1956.0,1,3,Edwards,1Story,TA,TA
127000,4,6,1531,9350,1947,756.0,1.0,1947.0,1,3,Edwards,1.5Fin,TA,TA
128000,5,7,1172,9525,1954,1172.0,1.0,1954.0,1,3,Edwards,1Story,TA,TA
186000,6,5,1212,10420,2009,1212.0,2.0,2009.0,2,3,Edwards,1Story,Gd,TA
308030,7,5,1508,17485,2009,1508.0,2.0,2009.0,1,1,Edwards,1Story,Gd,Gd
114000,5,3,1298,11200,1964,1250.0,2.0,1964.0,2,3,Edwards,1Story,TA,TA
84900,4,7,930,11100,1946,0.0,1.0,1946.0,1,2,Edwards,1Story,Gd,TA
178000,6,5,1732,9206,1985,741.0,2.0,1985.0,2,3,SawyerW,2Story,Gd,Gd
270000,7,5,1433,11980,1987,1433.0,2.0,1987.0,1,1,SawyerW,1Story,Gd,Gd
218000,6,7,1802,12361,1993,946.0,4.0,2000.0,2,3,SawyerW,2Story,Gd,Gd
236000,7,5,1949,9938,1993,1050.0,2.0,1993.0,2,3,SawyerW,2Story,Gd,Gd
147000,6,6,996,9069,1992,936.0,2.0,1992.0,1,2,SawyerW,SFoyer,Gd,TA
245350,8,5,1694,10475,2008,1694.0,3.0,2008.0,2,3,CollgCr,1Story,Gd,Gd
206000,7,5,1208,6762,2006,1187.0,2.0,2006.0,2,2,CollgCr,1Story,Gd,Gd
198900,7,5,1226,10402,2009,1226.0,3.0,2009.0,2,3,CollgCr,1Story,Gd,TA
187000,7,5,1222,7360,2010,1222.0,2.0,2009.0,2,2,CollgCr,1Story,Gd,Gd
320000,7,5,3222,12376,1990,1673.0,3.0,1990.0,3,5,SawyerW,2Story,Gd,TA
138500,6,8,1445,14235,1900,676.0,2.0,1957.0,2,3,SawyerW,1.5Fin,TA,TA
155000,6,7,1052,8816,1971,1010.0,2.0,1971.0,1,3,ClearCr,SLvl,TA,TA
159000,5,5,965,11105,1996,870.0,2.0,1998.0,1,2,CollgCr,SFoyer,TA,TA
191000,7,5,1692,9337,1997,878.0,2.0,1997.0,2,3,CollgCr,2Story,TA,TA
200500,6,5,1682,8750,1998,804.0,2.0,1998.0,2,3,CollgCr,2Story,Gd,TA
150000,5,8,1026,15240,1977,1026.0,1.0,1977.0,1,3,CollgCr,1Story,TA,Gd
161750,6,7,1392,10900,1977,689.0,1.0,1977.0,1,3,CollgCr,2Story,TA,TA
128200,5,6,894,10650,1976,894.0,1.0,1976.0,1,3,CollgCr,1Story,TA,TA
127000,5,6,876,7480,1972,876.0,2.0,1977.0,1,3,CollgCr,1Story,TA,TA
318000,8,5,1978,10389,2003,1978.0,3.0,2003.0,2,3,CollgCr,1Story,Gd,Gd
272000,8,5,1601,11423,2001,1581.0,2.0,2001.0,2,3,CollgCr,1Story,Gd,Gd
237000,7,6,1829,9548,2003,941.0,2.0,2003.0,2,3,CollgCr,2Story,Gd,Gd
240000,7,5,2098,9375,1997,1040.0,2.0,1997.0,2,4,CollgCr,2Story,Gd,Gd
224900,7,5,1661,12137,1998,1649.0,2.0,1998.0,2,3,CollgCr,1Story,Gd,TA
143750,6,5,848,4435,2003,848.0,2.0,2003.0,1,1,CollgCr,1Story,Gd,Gd
143000,6,5,848,4426,2004,848.0,2.0,2004.0,1,1,CollgCr,1Story,Gd,Gd
232000,8,5,1668,10635,2003,1657.0,2.0,2003.0,2,3,CollgCr,1Story,Gd,Gd
213000,7,5,1484,8400,2004,1473.0,2.0,2004.0,2,3,CollgCr,1Story,Gd,Gd
185500,7,5,1414,8773,2004,1414.0,2.0,2004.0,2,3,CollgCr,1Story,Gd,Gd
84900,3,6,640,8777,1945,0.0,1.0,1945.0,1,2,Edwards,1Story,TA,TA
